source,sku,name,brand,category,price_inr,availability,volume_tiers,url,image
handypanda,SANJAQWCXRCRSY,WC,Jaquar,Bathware & plumbing,8039.0,InStock,0,https://www.handypanda.in/products/jaquar-wc-4bzwr2r,https://cdn.handypanda.in/products/SANJAQWCXRCRSY-0.jpg
handypanda,SHOJAQAQUKKCHR,Aquamax Exposed Part Kit of Single Lever Shower Mixer (Kubix Prime),Jaquar,Bathware & plumbing,5323.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-aquamax-exposed-part-kit-of-single-lever-shower-mixer-kubix-pri-q6wa3sv,https://cdn.handypanda.in/products/SHOJAQAQUKKCHR-0.jpg
handypanda,SHOJAQCON125HW,Aquamax Concealed Body,Jaquar,Bathware & plumbing,5137.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-aquamax-concealed-body-98e14aw,https://cdn.handypanda.in/products/SHOJAQCON125HW-0.jpg?v=1781606829768
handypanda,TAPJAQCENB1OOD,Center Hole Basin Mixture,Jaquar,Bathware & plumbing,4877.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-center-hole-basin-mixture-heolnoo,https://cdn.handypanda.in/products/TAPJAQCENB1OOD-0.jpg
handypanda,TAPJAQPIL226AC,PIllar Cock Jaquar,Jaquar,Bathware & plumbing,4029.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-pillar-cock-jaquar-81405tp,https://cdn.handypanda.in/products/TAPJAQPIL226AC-primary.jpg
handypanda,SHOJAQCONOQVLI,Concealed cistern body,Jaquar,Bathware & plumbing,3993.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-concealed-cistern-body-tg73wnq,https://cdn.handypanda.in/products/SHOJAQCONOQVLI-0.jpg
handypanda,SHOJAQSHO1PJP5,Concealed Body for Single Lever High Flow Diverter,Jaquar,Bathware & plumbing,3816.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-concealed-body-for-single-lever-high-flow-diverter-ds0lruv,https://cdn.handypanda.in/products/SHOJAQSHO1PJP5-0.jpg?v=1781606959358
handypanda,SHOJAQAQUA3PK6,Aquamax Exposed Part Kit of Single Lever Shower Mixer (Ornamix Prime),Jaquar,Bathware & plumbing,3549.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-aquamax-exposed-part-kit-of-single-lever-shower-mixer-ornamix-p-z0m9083,https://cdn.handypanda.in/products/SHOJAQAQUA3PK6-0.jpg
handypanda,SHOJAQAQUUQO6L,Aquamax Exposed Part Kit of Single Lever Shower Mixer (Opal Prime),Jaquar,Bathware & plumbing,3549.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-aquamax-exposed-part-kit-of-single-lever-shower-mixer-opal-prim-0uckyjp,https://cdn.handypanda.in/products/imports-cmqdue5ki000ql404d1t4upc6-0.jpg?v=1781457714447
handypanda,SHOJAQAQU0K7DR,Aquamax Exposed Part Kit of Single Lever Shower Mixer (Vignette Prime),Jaquar,Bathware & plumbing,3549.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-aquamax-exposed-part-kit-of-single-lever-shower-mixer-vignette-tye66ez,https://cdn.handypanda.in/products/imports-cmqdue5kh000al404bd7dplnd-0.jpg?v=1781457692284
handypanda,SHOJAQOVEQAGEZ,Overhead Shower,Jaquar,Bathware & plumbing,3519.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-overhead-shower-i3aspm5,https://cdn.handypanda.in/products/SHOJAQOVEQAGEZ-0.jpg
handypanda,SHOJAQSHOB9U9O,Shower head,Jaquar,Bathware & plumbing,3481.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-shower-head-f8ghqi8,https://cdn.handypanda.in/products/SHOJAQSHOB9U9O-0.jpg
handypanda,SHOJAQAQU17U0F,Aquamax Exposed Part Kit of Single Lever Shower Mixer (Alive),Jaquar,Bathware & plumbing,3428.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-aquamax-exposed-part-kit-of-single-lever-shower-mixer-alive-nepl2i4,https://cdn.handypanda.in/products/imports-cmqdue5kj0019l4042rxhnzgk-0.jpg?v=1781457780281
handypanda,SHOJAQWASV4ZWQ,Washbasin diverter,Jaquar,Bathware & plumbing,3325.0,InStock,0,https://www.handypanda.in/products/jaquar-washbasin-diverter-tlynr59,https://cdn.handypanda.in/products/SHOJAQWASV4ZWQ-0.jpg
handypanda,SHOKOHTOWWDZ3K,Towel rack,Kohler,Bathware & plumbing,3257.0,OutOfStock,0,https://www.handypanda.in/products/kohler-towel-rack-4svzsuh,https://cdn.handypanda.in/products/SHOKOHTOWWDZ3K-0.jpg
handypanda,SHOJAQAQUBKKK5,Aquamax Exposed Part Kit of Single Lever Shower Mixer (Aria),Jaquar,Bathware & plumbing,3226.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-aquamax-exposed-part-kit-of-single-lever-shower-mixer-aria-tiko8p0,https://cdn.handypanda.in/products/imports-cmqdue5kj0018l404vjomk5ci-0.jpg?v=1781457736828
handypanda,SHOJAQAQU1TOD9,Aquamax Exposed Part Kit of Single Lever Shower Mixer (Lyric),Jaquar,Bathware & plumbing,3226.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-aquamax-exposed-part-kit-of-single-lever-shower-mixer-lyric-60crkfu,https://cdn.handypanda.in/products/SHOJAQAQU1TOD9-0.jpg
handypanda,SHOJAQAQU52WIP,Aquamax Exposed Part Kit of Single Lever Shower Mixer (Fusion),Jaquar,Bathware & plumbing,3146.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-aquamax-exposed-part-kit-of-single-lever-shower-mixer-fusion-ptpzcwa,https://cdn.handypanda.in/products/imports-cmqdue5kj001al404oi2hknew-0.jpg?v=1781457787892
handypanda,TAPJAQSPOSXYFR,Spout,Jaquar,Bathware & plumbing,2571.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-spout-9ioasjq,https://cdn.handypanda.in/products/TAPJAQSPOSXYFR-0.jpg
handypanda,SHOJAQSHOD1BB2,Aquamax diverter,Jaquar,Bathware & plumbing,2099.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-aquamax-diverter-g9npo8m,https://cdn.handypanda.in/products/SHOJAQSHOD1BB2-0.jpg
handypanda,TAPJAQBIBFIMOK,Bib cock long body,Jaquar,Bathware & plumbing,1596.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-bib-cock-long-body-if4jovo,https://cdn.handypanda.in/products/TAPJAQBIBFIMOK-0.jpg
handypanda,PIPASTPIP2B1EZ,Pipe 20ft PVC,Astral,Bathware & plumbing,1475.0,OutOfStock,0,https://www.handypanda.in/products/astral-pipe-20ft-pvc-1racml3,https://cdn.handypanda.in/products/PIPASTPIP2B1EZ-primary.jpg
handypanda,HEAJAQCONMNRG5,Concealed stop cock,Jaquar,Bathware & plumbing,1431.0,OutOfStock,0,https://www.handypanda.in/products/jaquar-concealed-stop-cock-2o5wnu5,https://cdn.handypanda.in/products/HEAJAQCONMNRG5-0.jpg
